CC-0003,M Tyranitar EX — Ancient Origins · #43,LP,26,Andy
CC-0009,Anthea & Concordia — Ascended Heroes · #254/217,NM,2,Andy
CC-0013,Counter Gain — Ascended Heroes · #259/217,NM,1,Andy
CC-0017,Hitmontop — Ascended Heroes · #240/217,NM,6,Andy
CC-0018,Koraidon ex — Ascended Heroes · #121/217,NM,1,Andy
CC-0019,Mega Audino ex — Ascended Heroes · #172/217,NM,2,Andy
CC-0025,Togedemaru ex — Ascended Heroes · #149/217,NM,1,Andy
CC-0028,Darkrai V — Astral Radiance · #098/189,NM,2,Andy
CC-0029,Gardenia's Vigor (Full Art) — Astral Radiance · #184/189,NM,8,Andy
CC-0032,Jirachi V (Full Art) — Astral Radiance · #170/189,NM,24,Andy
CC-0034,Lucario V — Astral Radiance · #078/189,NM,3,Andy
CC-0035,Origin Forme Dialga V — Astral Radiance · #113/189,NM,2,Andy
CC-0038,Roxanne (Full Art) — Astral Radiance · #188/189,NM,6,Andy
CC-0039,Shadow Rider Calyrex VMAX — Astral Radiance Trainer Gallery · #TG18/TG30,NM,12,Andy
CC-0042,Charizard — Base Set (1st Edition & Shadowless) · #4,PSA 1,908,Andy
CC-0043,Charmander — Base Set (1st Edition & Shadowless) · #46,MP,3,Andy
CC-0045,Gastly — Base Set (1st Edition & Shadowless) · #50,MP,2,Andy
CC-0047,Growlithe — Base Set (1st Edition & Shadowless) · #28,MP,2,Andy
CC-0051,Squirtle — Base Set 2 · #93,NM,3,Andy
CC-0052,Arcanine — Base Set (Unlimited) · #23,LP,4,Andy
CC-0053,Beedrill — Base Set (Unlimited) · #17,LP,6,Andy
CC-0054,Bulbasaur — Base Set (Unlimited) · #44,NM,4,Andy
CC-0055,Bulbasaur — Base Set (Unlimited) · #44,LP,3,Andy
CC-0058,Hitmonchan — Base Set (Unlimited) · #7,MP,15,Andy
CC-0060,Koffing — Base Set (Unlimited) · #51,LP,2,Andy
CC-0061,Magneton — Base Set (Unlimited) · #9,LP,30,Andy
CC-0065,Squirtle — Base Set (Unlimited) · #63,MP,6,Andy
CC-0069,Tyranitar V (Full Art) — Battle Styles · #154/163,NM,12,Andy
CC-0070,Black Kyurem — Black and White Promos · #BW58,LP,19,Andy
CC-0075,Beartic (Poke Ball Pattern) — Black Bolt · #026/086,NM,1,Andy
CC-0078,Cobalion (Poke Ball Pattern) — Black Bolt · #066/086,NM,1,Andy
CC-0079,Krokorok — Black Bolt · #136/086,NM,13,Andy
CC-0081,Elgyem (Poke Ball Pattern) — Black Bolt · #040/086,NM,1,Andy
CC-0082,Escavalier (Poke Ball Pattern) — Black Bolt · #060/086,NM,1,Andy
CC-0084,Excadrill ex — Black Bolt · #046/086,NM,1,Andy
CC-0087,Genesect ex — Black Bolt · #067/086,NM,2,Andy
CC-0090,Klinklang (Poke Ball Pattern) — Black Bolt · #063/086,NM,1,Andy
CC-0091,Krokorok (Master Ball Pattern) — Black Bolt · #058/086,NM,1,Andy
CC-0092,Kyurem ex — Black Bolt · #028/086,NM,5,Andy
CC-0098,Pansage (Poke Ball Pattern) — Black Bolt · #004/086,NM,1,Andy
CC-0100,Rufflet (Poke Ball Pattern) — Black Bolt · #077/086,NM,1,Andy
CC-0104,Tirtouga — Black Bolt · #106/086,NM,33,Andy
CC-0105,Solosis — Black Bolt · #123/086,PSA 10,61,Andy
CC-0106,Timburr — Black Bolt · #125/086,NM,20,Andy
CC-0110,Tranquill (Poke Ball Pattern) — Black Bolt · #072/086,NM,1,Andy
CC-0111,Tynamo (Poke Ball Pattern) — Black Bolt · #030/086,NM,1,Andy
CC-0123,Kingler V — Brilliant Stars · #028/172,NM,2,Andy
CC-0124,Kingler VMAX — Brilliant Stars · #029/172,NM,3,Andy
CC-0127,Raichu V (Full Art) — Brilliant Stars · #158/172,NM,7,Andy
CC-0128,Shaymin V — Brilliant Stars · #013/172,NM,1,Andy
CC-0129,Boltund V — Brilliant Stars Trainer Gallery · #TG13/TG30,NM,15,Andy
CC-0130,Dusknoir — Brilliant Stars Trainer Gallery · #TG06/TG30,NM,4,Andy
CC-0137,Flying Pikachu V — Celebrations · #006/025,NM,5,Andy
CC-0138,Flying Pikachu VMAX — Celebrations · #007/025,NM,9,Andy
CC-0147,Pikachu — Celebrations · #005/025,NM,6,Andy
CC-0151,Surfing Pikachu V — Celebrations · #008/025,NM,7,Andy
CC-0152,Surfing Pikachu VMAX — Celebrations · #009/025,NM,8,Andy
CC-0155,Zacian V — Celebrations · #016/025,NM,1,Andy
CC-0156,Zamazenta V — Celebrations · #018/025,NM,1,Andy
CC-0158,Here Comes Team Rocket! — Celebrations: Classic Collection · #15/82,NM,11,Andy
CC-0159,Imposter Professor Oak — Celebrations: Classic Collection · #73/102,NM,1,Andy
CC-0163,Gardevoir V (Full Art) — Champion's Path · #70/73,NM,5,Andy
CC-0165,Beedrill ex — Chaos Rising · #003/086,NM,1,Andy
CC-0171,Cinccino ex — Chaos Rising · #073/086,NM,1,Andy
